Train Loss,Validation Loss
0.5508,1.029052734375
0.6338,1.0361783504486084
0.7585,1.0325340032577515
0.7528,1.0458650588989258
0.6955,1.0340471267700195
0.7963,1.0264887809753418
0.624,1.0229729413986206
0.7148,1.0316104888916016
0.5438,1.050986409187317
0.72,1.0475506782531738
0.7051,1.0449765920639038
0.5929,1.0147433280944824
0.5735,1.0142121315002441
0.712,1.0198181867599487
0.8918,1.005819320678711
0.532,1.009409785270691
0.695,1.0231081247329712
0.7259,1.0200449228286743
0.5756,1.0219004154205322
0.7471,1.018265962600708
0.5605,1.0109097957611084
0.6467,1.0106682777404785
0.7752,1.0112028121948242
0.513,1.0063961744308472
0.5609,1.011897325515747
0.6613,1.0154964923858643
0.6445,1.013535976409912
0.5857,1.0097062587738037
0.6729,1.0122590065002441
0.6571,1.0111509561538696
0.6247,1.0232605934143066
0.72,1.0140299797058105
0.5321,1.000365138053894
0.8459,1.0079127550125122
0.5138,1.0022180080413818
0.4969,1.00653076171875
0.6372,0.9873635768890381
0.5489,0.9876916408538818
0.7292,0.9967491626739502
0.8046,0.9754315614700317
0.49,0.9916552305221558
0.6778,0.9869893193244934
0.5203,0.9948336482048035
0.517,0.9971802830696106
0.5384,0.9913465976715088
0.7113,0.9900267720222473
0.3738,0.9891497492790222
0.4525,0.9989869594573975
0.4894,0.983097493648529
0.7943,0.9731051325798035
0.5479,0.976594090461731
0.7165,0.9979945421218872
0.6164,1.0034605264663696
0.4968,1.0081162452697754
0.7012,1.0060609579086304
0.6209,1.0142697095870972
0.4313,1.0072169303894043
0.4814,0.9858225584030151
0.6098,0.9864458441734314
0.502,0.991873025894165
0.5441,0.9801566004753113
0.5598,0.9845163822174072
0.4702,0.9853078126907349
0.4584,0.9843771457672119
0.5856,0.9862696528434753
0.7037,0.9673095345497131
0.5287,0.9819005131721497
0.559,0.9790134429931641
0.6413,0.9763454794883728
0.4049,0.9709128141403198
0.6023,0.9806480407714844
0.5098,0.9874868392944336
0.4992,0.9821559190750122
0.4309,0.976441502571106
0.5603,0.9822036027908325
0.7009,0.9775047302246094
0.5062,0.982006311416626
0.6787,0.9813547134399414
0.5691,0.97264164686203
0.4693,0.9842183589935303
0.4426,0.9591163992881775
0.4517,0.9735298156738281
0.504,0.9777603149414062
0.485,0.9787352681159973
0.5572,0.9809946417808533
0.5139,0.9923654198646545
0.4383,0.9782705307006836
0.586,0.9864097237586975
0.6287,0.9862753748893738
0.7984,0.9625884294509888
